id,title,averageRating,author,language
8881,Benediction,3.97,Kent Haruf,eng
8882, سمفونی مردگان,4.08,عباس معروفی,per
8883,After the Night,4.1,Linda Howard,en-GB
8884, Evil at Heart,4.03,Chelsea Cain,eng
8885,The Bookseller,3.66,Cynthia Swanson,eng
8886,The Climb: Tragic Ambitions on Everest,3.89,"Anatoli Boukreev, G. Weston DeWalt",
8887,The Thousand Names,4.04,Django Wexler,en-CA
8888,An Old-Fashioned Girl,4.05,Louisa May Alcott,
8889,Beautiful Burn,4.11,Jamie McGuire,eng
8890,フルーツバスケット 2,4.34,"Natsuki Takaya, Alethea Nibley, Athena Nibley",en-US
8891,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,3.91,Bart D. Ehrman,en-US
8892,Wait for It,4.22,Mariana Zapata,eng
8893,The Other Wind,4.06,Ursula K. Le Guin,en-GB
8894,The Paris Vendetta,3.9,"Steve Berry, Scott Brick",en-US
8895,Moriarty,3.74,Anthony Horowitz,eng
8896,The tragedie of King Richard the second,3.76,"William Shakespeare, Roma Gill, Robert          Jackson",
8897,Prisoner of my desire ,4.06,Johanna Lindsey,
8898,Blood Memory,4.09,Greg Iles,eng
8899,Selected Poems,4.05,"George Gordon Byron, Peter J. Manning, Susan J. Wolfson",eng
8900,After I'm Gone,3.61,Laura Lippman,eng
8901,Shadows of the Workhouse: The Drama of Life in Postwar London,4.12,Jennifer Worth,eng
8902,"Ensemble, c'est tout",4.1,"Anna Gavalda, Alison Anderson",en-US
8903,One Up On Wall Street : How To Use What You Already Know To Make Money In The Market,4.12,"Peter Lynch, John Rothchild",en-US
8904,Against a Dark Background,4.09,Iain M. Banks,en-GB
8905,I Still Dream About You,3.55,Fannie Flagg,en-US
8906,A Modest Proposal and Other Satirical Works,4.04,Jonathan Swift,eng
8907,The Book on the Taboo Against Knowing Who You Are,4.28,Alan W. Watts,
8908,Mutter Courage und ihre Kinder,3.66,"Bertolt Brecht, David Hare",eng
8909,Up From the Grave ,4.28,Jeaniene Frost,eng
8910,"Sun and Moon, Ice and Snow",3.97,Jessica Day George,en-US
8911,The Blood Mirror,4.29,Brent Weeks,eng
8912,Galveston,3.72,Nic Pizzolatto,eng
8913,,4.07,"Mac Barnett, Jon Klassen",eng
8914,We the Animals,3.61,Justin Torres,eng
8915,Breaking the Spell: Religion as a Natural Phenomenon,3.89,Daniel C. Dennett,en-US
8916,The Faerie Queene,3.55,"Edmund Spenser, Thomas P. Roche, C. Patrick O'Donnell",eng
8917,Her Daughter's Dream,4.34,Francine Rivers,en-US
8918,,4.46,Kristen Ashley,eng
8919,Tampa,3.34,Alissa Nutting,
8920,The Fuck-Up,3.56,Arthur Nersesian,en-US
8921,MEG: A Novel of Deep Terror,3.76,Steve Alten,eng
8922,Seeing Redd,3.85,Frank Beddor,en-US
8923,Appointment in Samarra,3.83,John O'Hara,eng
8924,Each Peach Pear Plum,4.24,"Janet Ahlberg, Allan Ahlberg",eng
8925,,4.24,"Gene Kim, Kevin Behr, George Spafford",en-GB
8926,,4.5,Brandon Stanton,eng
8927,,3.91,"Chris Van Allsburg, Lois Lowry, Kate DiCamillo, M.T. Anderson, Louis Sachar, Stephen King, Tabitha King, Jon Scieszka, Sherman Alexie, Gregory Maguire, Cory Doctorow, Jules Feiffer, Linda Sue Park, Walter Dean Myers, Lemony Snicket",en-US
8928,The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,4.09,"Erin Gruwell, Zlata Filipović, The Freedom Writers",eng
8929,The Post-American World 2.0,3.86,Fareed Zakaria,eng
8930,Them: Adventures with Extremists,3.94,Jon Ronson,en-US
8931,The Ladies of Grace Adieu and Other Stories,3.85,"Susanna Clarke, Charles Vess",en-US
8932,,4.1,Dinah Bucholz,
8933,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice",4.39,Bill Browder,en-GB
8934,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,3.9,David Bach,
8935,Forgotten,3.79,Cat Patrick,eng
8936,Ghettoside: A True Story of Murder in America,4.12,Jill Leovy,
8937,Lady Cottington's Pressed Fairy Book,3.99,"Terry Jones, Brian Froud",eng
8938,That Night,3.92,Chevy Stevens,eng
8939,Salmon Fishing in the Yemen,3.51,Paul Torday,eng
8940,The Rest Is Noise: Listening to the Twentieth Century,4.08,Alex  Ross,eng
8941,Cross My Heart,3.92,Katie Klein,eng
8942,Something Like Normal,3.81,Trish Doller,eng
8943,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",4.08,Glenn Greenwald,eng
8944,Pastwatch: The Redemption of Christopher Columbus,3.96,Orson Scott Card,en-US
8945,The Next Accident,4.16,Lisa Gardner,en-US
8946,دیوان‎‎ [Dīvān],4.63,Hafez,eng
8947,Once a Runner,4.05,John L. Parker Jr.,
8948,Zita the Spacegirl,4.04,Ben Hatke,eng
8949,Paradiso,3.94,"Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds",eng
8950,Restless,3.84,William  Boyd,eng
8951,"The Ear, the Eye, and the Arm",3.85,Nancy Farmer,
8952,Pulled,4.06,"Amy Lichtenhan, A.L. Jackson",eng
8953,Stay Out of the Basement,3.64,R.L. Stine,
8954,,3.89,Kathryn Croft,eng
8955,Willing Captive,4.11,Belle Aurora,eng
8956,One Day at Horrorland,3.87,R.L. Stine,
8957,The Sweet Life in Paris: A Recipe for Living in the World's Most Delicious City,3.85,David Lebovitz,eng
8958,Talon,3.77,Julie Kagawa,eng
8959,Radiance,4.12,Grace Draven,eng
8960,The Red House,2.93,Mark Haddon,eng
8961,Footfall,3.89,"Larry Niven, Jerry Pournelle",
8962,Twelfth Grade Kills,4.36,Heather Brewer,eng
8963,Ice Station Zebra,3.95,Alistair MacLean,eng
8964,A. Lincoln: A Biography,4.22,Ronald C. White Jr.,en-US
8965,"Four Great Tragedies: Hamlet, Othello, King Lear, Macbeth (Signet Classics)",4.41,"William Shakespeare, Sylvan Barnet, Alvin Kernan, Russell Fraser",en-US
8966,Ain't She Sweet?,4.05,Susan Elizabeth Phillips,en-GB
8967,,4.14,Jodi Ellen Malpas,eng
8968,Bruiser,4.04,Neal Shusterman,en-US
8969,Stone Soup,4.15,Jon J. Muth,
8970,Falling Free,3.82,Lois McMaster Bujold,eng
8971,,4.24,Gayle Forman,eng
8972,The Cold Moon,4.05,Jeffery Deaver,en-US
8973,The Moor's Last Sigh,3.92,Salman Rushdie,eng
8974,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",3.69,Gayle Tzemach Lemmon,eng
8975,Girl with Curious Hair,3.89,David Foster Wallace,
8976,The Shawshank Redemption,4.52,Stephen King,eng
8977,,3.75,A.J. Jacobs,eng
8978,The Revenge of the Baby-Sat: A Calvin and Hobbes Collection,4.71,Bill Watterson,
8979,The Case-Book of Sherlock Holmes,4.2,Arthur Conan Doyle,eng
8980,Ghostgirl,3.28,Tonya Hurley,eng
8981,I've Got You Under My Skin,3.75,"Mary Higgins Clark, Alafair Burke",eng
8982,"Fables, Volume 10: The Good Prince",4.37,"Bill Willingham, Mark Buckingham, Steve Leialoha, Aaron Alexovich, Andrew Pepoy",eng
8983,The Secret Between Us,3.71,Barbara Delinsky,
8984,Red Phoenix,3.98,"Larry Bond, Patrick Larkin",eng
8985,Never Look Away,3.99,Linwood Barclay,eng
8986,Your Heart Belongs to Me,3.34,Dean Koontz,eng
8987,Shadow Fires,3.77,"Leigh Nichols, Dean Koontz",eng
8988,"Victory of Eagles (Temeraire, #5)",4.01,Naomi Novik,en-GB
8989,"Knife Edge (Noughts and Crosses, #2)",4.06,Malorie Blackman,
8990,The Blood Gospel: The Order of the Sanguines Series,3.97,"James Rollins, Rebecca Cantrell",en-CA
8991,,4.47,Tijan,eng
8992,I Am Not Myself These Days,3.96,Josh Kilmer-Purcell,eng
8993,,3.85,Lauren Barnholdt,en-US
8994,Bones Are Forever,3.86,Kathy Reichs,eng
8995,Deerskin,3.88,Robin McKinley,en-US
8996,Dispatches,4.24,Michael Herr,en-GB
8997,Handen,3.98,"Henning Mankell, Laurie Thompson",eng
8998,Sleepers,4.18,Lorenzo Carcaterra,eng
8999,Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit,4.05,"Walter Benjamin, Michael W. Jennings, Brigid Doherty, Edmund F.N. Jephcott, Rodney Livingstone, Howard Eiland, Thomas Y. Levin",eng
9000,Pretend You Don't See Her,3.86,Mary Higgins Clark,eng
9001,Going Rogue: An American Life,3.28,"Sarah Palin, Lynn Vincent, Dewey Whetsell",eng
9002,The Cake Mix Doctor,3.95,"Anne Byrn, Anthony Loew",
9003,The Monstrumologist,3.89,Rick Yancey,eng
9004,The Path to Power,4.42,Robert A. Caro,eng
9005,Depraved Heart,3.58,Patricia Cornwell,
9006,The Education of Little Tree,4.09,Forrest Carter,
9007,Intertwined,3.87,Gena Showalter,eng
9008,In Watermelon Sugar,4.02,Richard Brautigan,eng
9009,My Life with the Walter Boys,3.93,"Ali Novak, Fallzswimmer",eng
9010,Burning For Revenge,4.18,John Marsden,eng
9011,Love You to Death: The Unofficial Companion to The Vampire Diaries,4.38,Crissy Calhoun,en-US
9012,,3.99,Liane Moriarty,eng
9013,Hourglass,3.8,Myra McEntire,eng
9014,Positioning: The Battle for Your Mind,4.06,"Al Ries, Jack Trout",
9015,,4.28,Nalini Singh,eng
9016,,4.18,Laurann Dohner,eng
9017,,3.9,David B.,eng
9018,August: Osage County,4.2,Tracy Letts,eng
9019,Mountain of Black Glass,4.04,Tad Williams,en-US
9020,,3.66,Susan Elia MacNeal,eng
9021,Lost,2.8,"Gregory Maguire, Douglas Smith",eng
9022,The Prestige,3.87,Christopher Priest,eng
9023,Rhett Butler's People,3.7,Donald McCaig,
9024,Angels in America:  A Gay Fantasia on National Themes,4.29,Tony Kushner,eng
9025,Anil's Ghost,3.54,Michael Ondaatje,eng
9026,Winter Moon,3.8,Dean Koontz,eng
9027,The Will,4.3,Kristen Ashley,eng
9028,A Grimm Warning,4.54,"Chris Colfer, Brandon Dorman",eng
9029,,4.01,Scott  Meyer,eng
9030,The Billionaire Wins the Game,3.93,Melody Anne,eng
9031,Never Love a Highlander,4.25,Maya Banks,eng
9032,The Pragmatic Programmer: From Journeyman to Master,4.31,"Andrew Hunt, Dave Thomas",en-US
9033,Supernova: Petir,3.85,Dee Lestari,ind
9034,Babylon's Ashes,4.18,James S.A. Corey,eng
9035,"Wrong Bed, Right Guy",3.77,Katee Robert,eng
9036,Drop City,3.83,"T.C. Boyle, Richard Poe",eng
9037,Y: The Last Man - The Deluxe Edition Book One,4.36,"Brian K. Vaughan, Pia Guerra, José Marzán Jr., Pamela Rambo, Clem Robins, J.G. Jones",eng
9038,Candy Girl,3.54,Diablo Cody,en-US
9039,حول العالم في 200 يوم,4.08,أنيس منصور,ara
9040,Alert,3.93,"James Patterson, Michael Ledwidge",eng
9041,,4.31,Madeline Sheehan,eng
9042,The Painter,3.76,Peter Heller,eng
9043,Close Encounters of the Third Kind,4.09,Steven Spielberg,eng
9044,The Vampire Chronicles,4.25,"Anne Rice, Robert O'Keefe, F. Murray Abraham, Michael York, Kate Nelligan, David Purdham",eng
9045,,4.15,"Stan Berenstain, Jan Berenstain",en-US
9046,Hot Ticket,4.28,Olivia Cunning,eng
9047,The Search,4.14,Iris Johansen,en-US
9048,,4.4,J.K. Rowling,eng
9049,Zami: A New Spelling of My Name,4.2,Audre Lorde,eng
9050,,4.21,"Cassandra Clare, Hye-Kyung Baek",eng
9051,Hafalan Shalat Delisa,4.2,Tere Liye,ind
9052,Sixth Grave on the Edge,4.38,Darynda Jones,en-US
9053,"The Royal Ranger (Ranger's Apprentice, #12)",4.4,John Flanagan,
9054,The Submission,3.66,Amy Waldman,eng
9055,The Lord of the Rings Sketchbook,4.26,"Alan Lee, Ian McKellen",eng
9056,Glimmerglass,3.76,Jenna Black,en-US
9057,Don't Blink,3.79,"James Patterson, Howard Roughan",eng
9058,The Shadows Over Innsmouth,4.43,"Stephen Jones, H.P. Lovecraft, Kim Newman, Brian Mooney, Nicholas Royle, David Langford, Michael Marshall Smith, Brian Lumley, Neil Gaiman, Basil Copper, Jack Yeovil, Guy N. Smith, Adrian Cole, D.F. Lewis, Ramsey Campbell, David Sutton, Peter Tremayne",eng
9059,The Tin Roof Blowdown,4.17,James Lee Burke,eng
9060,The Death of Bunny Munro,3.43,Nick Cave,eng
9061,Flat Stanley,3.82,"Jeff Brown, Scott Nash, Macky Pamintuan",eng
9062,"Winter's Passage (Iron Fey, #1.5)",3.96,Julie Kagawa,eng
9063,Freight Train (Caldecott Collection),4.04,Donald Crews,
9064,Rosemary: The Hidden Kennedy Daughter,3.78,Kate Clifford Larson,en-CA
9065,Faith,3.83,Jennifer Haigh,en-US
9066,Bite Me If You Can,4.27,Lynsay Sands,en-US
9067,,4.46,Kristen Ashley,eng
9068,Moonlight Becomes You,3.8,Mary Higgins Clark,eng
9069,A Corner of the Universe,4.06,Ann M. Martin,eng
9070,The Ice Queen,3.51,Alice Hoffman,en-US
9071,The Folk of Faraway Tree,4.32,Enid Blyton,eng
9072,City on Fire,3.42,Garth Risk Hallberg,eng
9073,The Flame and the Flower,4.09,Kathleen E. Woodiwiss,
9074,Exile's Return,4,Raymond E. Feist,
9075,Princess of Glass,4.03,Jessica Day George,eng
9076,Preach My Gospel (A Guide to Missionary Service),4.71,The Church of Jesus Christ of Latter-day Saints,
9077,The Last Dragonslayer,3.86,Jasper Fforde,eng
9078,Orientalism,4.07,Edward Said,eng
9079,"The Work and the Glory, Vol. 2: Like a Fire Burning",4.27,Gerald N. Lund,
9080,Friends and Lovers,4.21,Eric Jerome Dickey,eng
9081,Molly Moon's Incredible Book of Hypnotism,3.87,Georgia Byng,eng
9082,Contest,3.95,Matthew Reilly,
9083,31 Songs,3.56,Nick Hornby,en-US
9084,The Greatest Generation,3.99,Tom Brokaw,
9085,The Minority Report,3.82,Philip K. Dick,
9086,Luck in the Shadows,4.08,Lynn Flewelling,eng
9087,The Lemonade War,3.88,Jacqueline Davies,en-US
9088,"The Knight at Dawn (Magic Tree House, #2)",3.86,"Mary Pope Osborne, Salvatore Murdocca",eng
9089,,4.02,H.M. Ward,eng
9090,Winter in Tokyo,4.06,Ilana Tan,ind
9091,,3.6,John Searles,eng
9092,デスノート #6 (Desu Nōto) Kōkan (交換),4.39,"Tsugumi Ohba, Takeshi Obata",eng
9093,The Lightning Thief: The Graphic Novel,3.95,"Rick Riordan, Robert Venditti, José Villarrubia, Attila Futaki",eng
9094,,4.14,"Clint Hill, Lisa McCubbin",eng
9095,Shoeless Joe,3.96,W.P. Kinsella,eng
9096,When Crickets Cry,4.23,Charles Martin,en-US
9097,This Changes Everything: Capitalism vs. The Climate,4.17,Naomi Klein,eng
9098,Aloha from Hell,4.01,Richard Kadrey,en-US
9099,,4.3,Aurora Rose Reynolds,eng
9100,A Walk Across America,4.02,Peter Jenkins,en-US
9101,Try Me,3.87,Olivia Cunning,eng
9102,All Souls: A Family Story from Southie,4.07,Michael Patrick MacDonald,eng
9103,Wizard at Large ,3.81,Terry Brooks,
9104,The Bad Seed ,4.05,"William March, Elaine Showalter",eng
9105,Connected,4.11,Kim Karr,eng
9106,Angel Fire,4.06,L.A. Weatherly,eng
9107,Growing up Amish,3.36,Ira Wagler,eng
9108,,3.95,Toni Aleo,eng
9109,Sweet Addiction,4.11,J.  Daniels,eng
9110,Bomb: The Race to Build—and Steal—the World's Most Dangerous Weapon,4.12,Steve Sheinkin,eng
9111,Maximum City: Bombay Lost and Found,3.91,Suketu Mehta,eng
9112,,4.22,Bob Grant,eng
9113,The Last Wife of Henry VIII,3.88,Carolly Erickson,en-US
9114,The Complete Tales and Poems of Edgar Allan Poe,4.48,Edgar Allan Poe,eng
9115,Gideon's Sword,3.58,"Douglas Preston, Lincoln Child",en-US
9116,A Caribbean Mystery,3.77,Agatha Christie,eng
9117,,3.93,Danielle Steel,
9118,,3.77,"Brian Kilmeade, Don Yaeger",eng
9119,When Christ and His Saints Slept,4.27,Sharon Kay Penman,eng
9120,Pinocchio (A Little Golden Book),4.33,"Eugene Bradley Coco, Ron Dias",
9121,Great North Road,4.06,Peter F. Hamilton,eng
9122,,4.03,Christine Zolendz,en-GB
9123,,4.47,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",eng
9124,,4.28,"Stan Berenstain, Jan Berenstain",en-US
9125,Curious George Takes a Job,4.28,H.A. Rey,
9126,Superman for All Seasons,4.08,"Jeph Loeb, Tim Sale, Bjarne Hansen",en-US
9127,La casa de Bernarda Alba,3.77,"Federico García Lorca, Antonio Sobejano-Moran, Paola Bianco",
9128,Retribution,4.12,Sherrilyn Kenyon,en-US
9129,Glue,3.84,Irvine Welsh,eng
9130,Unhinged,4.25,A.G. Howard,eng
9131,How to Fall in Love,4.02,Cecelia Ahern,eng
9132,Until You,4.12,Judith McNaught,en-US
9133,,4.15,R.A. Salvatore,en-US
9134,Streams in the Desert,4.39,"Lettie B. Cowman, James Reimann",
9135,,4.16,Jennifer Estep,eng
9136,The Shadowhunter's Codex,4.06,"Cassandra Clare, Joshua Lewis",eng
9137,"Tennis Shoes Among the Nephites (Tennis Shoes, #1)",4.01,Chris Heimerdinger,eng
9138,Blue Is for Nightmares,3.81,Laurie Faria Stolarz,en-US
9139,Three Complete Novels: Carrie/Salem's Lot/The Shining,4.52,Stephen King,eng
9140,Personal Demon,4.06,Kelley Armstrong,eng
9141,"The Way of Kings, Part 1",4.67,Brandon Sanderson,eng
9142,The Christmas List,4.17,Richard Paul Evans,eng
9143,How to Make Love Like a Porn Star: A Cautionary Tale,3.75,"Jenna Jameson, Neil Strauss",eng
9144,The Tenth Justice,3.97,Brad Meltzer,
9145,,3.41,Anita Shreve,
9146,Dark Days,4.45,Derek Landy,eng
9147,"The Green Mile, Part 3: Coffey's Hands",4.5,Stephen King,eng
9148,Jacob,4.02,Jacquelyn Frank,eng
9149,,4.01,Katie MacAlister,en-US
9150,Perfect,3.54,Rachel Joyce,eng
9151,Clifford's Halloween (Clifford),4.14,Norman Bridwell,eng
9152,Lyra's Oxford,3.52,"Philip Pullman, John Lawrence",en-US
9153,"If I Die (Soul Screamers, #5)",4.32,Rachel Vincent,eng
9154,Private Berlin,3.9,"James Patterson, Mark T. Sullivan",eng
9155,The Other Daughter,3.99,Lisa Gardner,eng
9156,Amazing Grace,4.33,"Mary Hoffman, Caroline Binch",en-US
9157,The Redemption of Althalus,3.82,"David Eddings, Leigh Eddings",
9158,Slammerkin,3.69,Emma Donoghue,eng
9159,Simply Irresistible,3.86,Rachel Gibson,eng
9160,About That Night,4.07,Julie James,eng
9161,桜蘭高校ホスト部 3,4.44,Bisco Hatori,eng
9162,On the Night You Were Born,4.35,Nancy Tillman,en-US
9163,,3.44,Rachel Bertsche,eng
9164,Legion: Skin Deep,4.11,"Brandon Sanderson, Jon Foster",eng
9165,Wicked,4.08,Jennifer L. Armentrout,eng
9166,Insatiable,3.44,Meg Cabot,eng
9167,Where I Belong,4.05,J.  Daniels,eng
9168,Back on Blossom Street,4.14,Debbie Macomber,eng
9169,Le Voyage d’Hector ou la recherche du bonheur,3.47,"François Lelord, Lorenza García",eng
9170,"Between, Georgia",3.87,Joshilyn Jackson,en-US
9171,Faking It ,3.9,Jennifer Crusie,eng
9172,アンダーグラウンド [Andāguraundo],3.89,"Haruki Murakami, Alfred Birnbaum, Philip Gabriel",eng
9173,The Twentieth Wife,4.03,Indu Sundaresan,en-US
9174,,4.06,Erica Stevens,en-GB
9175,"Split Infinity (Apprentice Adept, #1)",3.94,Piers Anthony,eng
9176,Sex God: Exploring the Endless Connections Between Sexuality And Spirituality,3.82,Rob Bell,en-US
9177,A Vintage Affair,3.8,Isabel Wolff,en-GB
9178,The Buddha of Suburbia,3.72,Hanif Kureishi,eng
9179,Breathe,3.69,Sarah Crossan,en-US
9180,The Voice of the Night ,3.91,"Brian Coffey, Dean Koontz",eng
9181,The Girl from Krakow,3.79,Alex Rosenberg,eng
9182,Justice: What's the Right Thing to Do?,4.25,Michael J. Sandel,en-US
9183,13 Hours: The Inside Account of What Really Happened In Benghazi,4.26,Mitchell Zuckoff,eng
9184,Succubus Shadows ,4.18,Richelle Mead,en-US
9185,Roses,4.02,Leila Meacham,en-US
9186,Crazy For You,3.78,Jennifer Crusie,
9187,Letter to My Daughter,4.08,Maya Angelou,eng
9188,The Post-Birthday World ,3.52,Lionel Shriver,eng
9189,The Man Who Walked Between the Towers,4.14,Mordicai Gerstein,en-GB
9190,,4.59,Cassandra Clare,
9191,O Homem Duplicado,3.84,"José Saramago, Margaret Jull Costa",en-US
9192,Thorn Queen,4.12,Richelle Mead,en-GB
9193,Lost & Found,3.71,Jacqueline Sheehan,eng
9194,The Tale of Mrs. Tiggy-Winkle,4.19,Beatrix Potter,
9195,For Love of Evil,4.1,Piers Anthony,
9196,Blackberry Winter,3.96,Sarah Jio,eng
9197,Trouble Is My Business,4.05,Raymond Chandler,eng
9198,"An Acceptable Time (Time Quintet, #5)",3.86,Madeleine L'Engle,eng
9199,The Third Secret,3.84,Steve Berry,eng
9200,"Charlie Bone and the Shadow (The Children of the Red King, # 7)",4.02,Jenny Nimmo,
9201,Love Bites,4.12,Lynsay Sands,eng
9202,Hard Choices,3.57,Hillary Rodham Clinton,eng
9203,"Batman: No Man's Land, Vol. 1",4.11,"Bob Gale, Devin Grayson, Alex Maleev, Dale Eaglesham",eng
9204,,3.66,"Jeffrey D. Sachs, Bono",
9205,Half Blood Blues,3.63,Esi Edugyan,eng
9206,The Kindness of Strangers,4,Katrina Kittle,en-US
9207,Emmy & Oliver,3.91,Robin Benway,eng
9208,The Sculptor,4,Scott McCloud,eng
9209,Roller Girl,4.27,Victoria Jamieson,eng
9210,The Best Nest,4.19,P.D. Eastman,en-US
9211,Day By Day Armageddon: Beyond Exile ,4.08,J.L. Bourne,eng
9212,Braveheart,4.19,Randall Wallace,eng
9213,"Fables, Volume 7: Arabian Nights (and Days)",4.1,"Bill Willingham, Mark Buckingham, Steve Leialoha, Jim Fern, Jimmy Palmiotti, Andrew Pepoy",eng
9214,Call Me by Your Name,4.13,André Aciman,
9215,Fugitive Pieces,3.95,Anne Michaels,eng
9216,Armageddon's Children,4.09,Terry Brooks,
9217,The Cobra Event,4,Richard   Preston,en-US
9218,Everbound,4.06,Brodi Ashton,en-US
9219,The Hole in Our Gospel: What does God expect of Us?  The Answer that Changed my Life and Might Just Change the World,4.18,Richard Stearns,en-US
9220,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,3.58,Gary Ezzo,
9221,,3.97,نور عبدالمجيد,ara
9222,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, from the Soviet Invasion to September 10, 2001",4.28,Steve Coll,eng
9223,La vida del Lazarillo de Tormes y sus fortunas y adversidades ,3.49,Anonymous,spa
9224,,3.92,E.C. Diskin,eng
9225,The Midwich Cuckoos,3.93,John Wyndham,eng
9226,,3.93,Phyllis T. Smith,en-US
9227,Smoke Screen,3.98,Sandra Brown,en-US
9228,,4.38,"Jeff Smith, Thomas E. Sniegoski, Steve Hamaker",eng
9229,The Fourteenth Goldfish,3.87,"Jennifer L. Holm, Tad Carpenter",eng
9230,Tawny Scrawny Lion (Little Golden Book),4.16,"Kathryn Jackson, Gustav Tenggren",
9231,Peace Child,4.31,Don Richardson,
9232,Libra ,3.98,Don DeLillo,eng
9233,The Honourable Schoolboy,3.94,John le Carré,eng
9234,Renegade's Magic,3.46,Robin Hobb,eng
9235,,4.26,Hugh Howey,eng
9236,The Tenth Insight ,3.61,James Redfield,en-CA
9237,The Interpretation of Murder,3.51,Jed Rubenfeld,eng
9238,Superman: Birthright 1-12,4.12,"Mark Waid, Alfred Gough, Miles Millar, Dave McCaig, Gerry Alanguilan, Leinil Francis Yu",en-GB
9239,Curious George Visits the Library,4.25,"Margret Rey, H.A. Rey, Martha Weston",en-US
9240,Arthur & George,3.7,Julian Barnes,eng
9241,"The Work and the Glory, Vol. 3: Truth Will Prevail",4.3,Gerald N. Lund,
9242,Sins & Needles,3.98,Karina Halle,eng
9243,Eine kurze Weltgeschichte für junge Leser: Von der Urzeit bis zur Gegenwart,4.1,"E.H. Gombrich, Caroline Mustill, Clifford Harper",eng
9244,Fire Burn and Cauldron Bubble,3.85,H.P. Mallory,eng
9245,フルーツバスケット 4,4.39,"Natsuki Takaya, Alethea Nibley, Athena Nibley",en-US
9246,,3.62,Geneen Roth,en-US
9247,بين القصرين,4.14,"Naguib Mahfouz, William M. Hutchins, Olive E. Kenny",eng
9248,First to Kill ,4.03,Andrew  Peterson,eng
9249,How I Raised Myself from Failure to Success in Selling,4.25,Frank Bettger,
9250,,3.89,Billy Crystal,eng
9251,Lucky,4.08,Jackie Collins,en-US
9252,Wicked - Piano/Vocal Arrangement,4.45,"Stephen Schwartz, Gregory Maguire",
9253,If Life Is a Bowl of Cherries—What Am I Doing in the Pits?,4.07,Erma Bombeck,en-US
9254,Vagabond,4.09,Bernard Cornwell,en-US
9255,Little Lord Fauntleroy,3.81,Frances Hodgson Burnett,
9256,Sometimes Never,3.94,Cheryl McIntyre,eng
9257,The Mystery Knight,4.2,George R.R. Martin,eng
9258,Double Time,4.14,Olivia Cunning,en-US
9259,,3.98,Holly Black,en-US
9260,The Magic (The Secret #3),4.14,Rhonda Byrne,eng
9261,,4.36,Mariana Zapata,
9262,Too Busy Not to Pray: Slowing Down to Be With God,4.14,"Bill Hybels, Lavonne Neff",en-US
9263,Indignation,3.69,Philip Roth,eng
9264,Open City,3.5,Teju Cole,eng
9265,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",4.18,Dave Pelzer,en-US
9266,Witches of East End,3.51,Melissa de la Cruz,eng
9267,All He Ever Wanted,3.18,Anita Shreve,eng
9268,Imajica,4.24,Clive Barker,eng
9269,Worth the Fight,4.06,Vi Keeland,eng
9270,Rose Daughter,3.77,Robin McKinley,eng
9271,"Fools Rush In (Weddings by Bella, #1)",3.59,Janice  Thompson,en-US
9272,Ruby Holler,4.01,Sharon Creech,
9273,,3.91,Jen Lancaster,eng
9274,The Pagan Lord,4.34,Bernard Cornwell,en-US
9275,See You at the Top: 25th Anniversary Edition,4.25,"Zig Ziglar, Al Mayton",
9276,The North Water,4.01,Ian McGuire,eng
9277,The Forge of God,3.86,Greg Bear,eng
9278,,4.25,Robert Dugoni,eng
9279,Hidden Order,4.1,Brad Thor,eng
9280, ,3.97,Alison Weir,en-US
9281,Ἀγαμέμνων,3.82,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",eng
9282,Staked,4.23,Kevin Hearne,eng
9283,Harry Potter and Philosophy: If Aristotle Ran Hogwarts,4.45,"David Baggett, Shawn E. Klein",
9284,"Sweet Persuasion (Sweet Series, #2)",4.09,Maya Banks,eng
9285,Redeemed,3.95,"P.C. Cast, Kristin Cast",eng
9286,"Do No Harm: Stories of Life, Death and Brain Surgery",4.22,Henry Marsh,eng
9287,Jennifer Government,3.65,Max Barry,eng
9288,The Christmas Train,3.56,David Baldacci,
9289,"Dark Destiny (Carpathians, #13)",4.29,Christine Feehan,eng
9290,Batman: The Dark Knight Strikes Again,3.21,"Frank Miller, Lynn Varley",eng
9291,Me: Stories of My Life,3.87,Katharine Hepburn,eng
9292,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,3.88,Neil A. Fiore,eng
9293,After Ever Happy,4.08,Anna Todd,en-US
9294,The Auschwitz Escape,4.32,Joel C. Rosenberg,eng
9295,Made in America: An Informal History of the English Language in the United States,3.89,Bill Bryson,en-US
